season,director,writer,total_votes,n_lines,n_directions,n_words,n_speak_char,main_chars,andy,angela,darryl,dwight,erin,holly,jan,jim,kelly,kevin,meredith,michael,oscar,pam,phyllis,ryan,stanley,toby,andy_perc,angela_perc,darryl_perc,dwight_perc,erin_perc,holly_perc,jan_perc,jim_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,oscar_perc,pam_perc,phyllis_perc,ryan_perc,stanley_perc,toby_perc,Halsted_Sullivan_dummy_writer,Mindy_Kaling_dummy_writer,Daniel_Chun_dummy_writer,Jennifer_Celotta_dummy_writer,Lee_Eisenberg_dummy_writer,Michael_Schur_dummy_writer,Warren_Lieberstein_dummy_writer,Charlie_Grandy_dummy_writer,Owen_Ellickson_dummy_writer,B.J._Novak_dummy_writer,Brent_Forrester_dummy_writer,Steve_Hely_dummy_writer,Paul_Lieberstein_dummy_writer,Justin_Spitzer_dummy_writer,Allison_Silverman_dummy_writer,Gene_Stupnitsky_dummy_writer,Aaron_Shure_dummy_writer,Robert_Padnick_dummy_writer,Carrie_Kemper_dummy_writer,Greg_Daniels_dummy_writer,low_appearance_writer,David_Rogers_dummy_director,Jeffrey_Blitz_dummy_director,Charles_McDougall_dummy_director,Tucker_Gates_dummy_director,Jennifer_Celotta_dummy_director,Paul_Feig_dummy_director,Harold_Ramis_dummy_director,Troy_Miller_dummy_director,B.J._Novak_dummy_director,Brent_Forrester_dummy_director,John_Krasinski_dummy_director,Ken_Kwapis_dummy_director,Paul_Lieberstein_dummy_director,Rainn_Wilson_dummy_director,Steve_Carell_dummy_director,Randall_Einhorn_dummy_director,Ken_Whittingham_dummy_director,Matt_Sohn_dummy_director,Greg_Daniels_dummy_director,low_appearance_directors,multi_part
6,['Seth Gordon'],['Charlie Grandy'],1709,367,54,3293,19,"['Andy', 'Angela', 'Creed', 'Dwight', 'Erin', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",28.0,2.0,0.0,50.0,3.0,0.0,0.0,26.0,5.0,6.0,1.0,114.0,3.0,70.0,2.0,8.0,1.0,7.0,0.1142857142857142,0.0081632653061224,0.0,0.2040816326530612,0.0122448979591836,0.0,0.0,0.1061224489795918,0.0204081632653061,0.0244897959183673,0.0040816326530612,0.4653061224489795,0.0122448979591836,0.2857142857142857,0.0081632653061224,0.0326530612244898,0.0040816326530612,0.0285714285714285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,['Jennifer Celotta'],['Tim McAuliffe'],1445,318,55,2707,28,"['Andy', 'Angela', 'Darryl', 'Dwight', 'Erin', 'Jim', 'Kevin', 'Meredith', 'Oscar', 'Pam', 'Phyllis', 'Stanley', 'Toby']",11.0,32.0,12.0,37.0,3.0,0.0,0.0,31.0,0.0,9.0,3.0,0.0,29.0,42.0,6.0,0.0,5.0,2.0,0.0434782608695652,0.1264822134387351,0.0474308300395256,0.1462450592885375,0.0118577075098814,0.0,0.0,0.1225296442687747,0.0,0.0355731225296442,0.0118577075098814,0.0,0.1146245059288537,0.1660079051383399,0.0237154150197628,0.0,0.0197628458498023,0.0079051383399209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,['David Rogers'],['Anthony Q. Farrell'],1962,295,44,2791,17,"['Andy', 'Creed', 'Darryl', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley']",40.0,0.0,29.0,36.0,0.0,32.0,0.0,25.0,5.0,1.0,1.0,59.0,1.0,25.0,4.0,4.0,1.0,0.0,0.1388888888888889,0.0,0.1006944444444444,0.125,0.0,0.1111111111111111,0.0,0.0868055555555555,0.0173611111111111,0.0034722222222222,0.0034722222222222,0.2048611111111111,0.0034722222222222,0.0868055555555555,0.0138888888888888,0.0138888888888888,0.0034722222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,['Roger Nygard'],['Jennifer Celotta'],2311,236,52,2737,19,"['Andy', 'Angela', 'Creed', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",4.0,6.0,0.0,36.0,0.0,0.0,12.0,15.0,5.0,2.0,1.0,83.0,0.0,25.0,3.0,6.0,5.0,3.0,0.0112676056338028,0.0169014084507042,0.0,0.1014084507042253,0.0,0.0,0.0338028169014084,0.0422535211267605,0.0140845070422535,0.0056338028169014,0.0028169014084507,0.2338028169014084,0.0,0.0704225352112676,0.0084507042253521,0.0169014084507042,0.0140845070422535,0.0084507042253521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,['Julian Farino'],['Lester Lewis'],2202,244,44,2804,20,"['Darryl', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Ryan', 'Toby']",0.0,0.0,3.0,5.0,0.0,0.0,28.0,14.0,15.0,4.0,1.0,79.0,1.0,21.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0066371681415929,0.0110619469026548,0.0,0.0,0.0619469026548672,0.0309734513274336,0.0331858407079646,0.0088495575221238,0.0022123893805309,0.1747787610619469,0.0022123893805309,0.0464601769911504,0.0,0.0221238938053097,0.0,0.0088495575221238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,['Ken Whittingham'],['Caroline Williams'],2283,180,20,2015,21,"['Angela', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Pam', 'Phyllis', 'Stanley', 'Toby']",0.0,3.0,0.0,25.0,0.0,0.0,0.0,19.0,6.0,4.0,1.0,49.0,0.0,15.0,15.0,0.0,2.0,2.0,0.0,0.0115384615384615,0.0,0.0961538461538461,0.0,0.0,0.0,0.073076923076923,0.023076923076923,0.0153846153846153,0.0038461538461538,0.1884615384615384,0.0,0.0576923076923076,0.0576923076923076,0.0,0.0076923076923076,0.0076923076923076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,['Ken Whittingham'],['Jon Vitti'],1633,278,81,2884,19,"['Andy', 'Angela', 'Creed', 'Dwight', 'Erin', 'Jim', 'Kelly', 'Kevin', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley']",27.0,9.0,0.0,26.0,42.0,0.0,0.0,18.0,13.0,9.0,0.0,56.0,7.0,23.0,12.0,3.0,1.0,0.0,0.1050583657587548,0.0350194552529182,0.0,0.1011673151750972,0.1634241245136186,0.0,0.0,0.0700389105058365,0.0505836575875486,0.0350194552529182,0.0,0.2178988326848249,0.0272373540856031,0.0894941634241245,0.046692607003891,0.0116731517509727,0.0038910505836575,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,['Matt Sohn'],['Allison Silverman'],1563,321,37,2822,22,"['Andy', 'Creed', 'Darryl', 'Dwight', 'Erin', 'Jim', 'Kelly', 'Kevin', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Toby']",43.0,0.0,23.0,55.0,13.0,0.0,0.0,40.0,6.0,15.0,0.0,0.0,4.0,65.0,2.0,6.0,0.0,4.0,0.1799163179916318,0.0,0.0962343096234309,0.2301255230125523,0.0543933054393305,0.0,0.0,0.1673640167364016,0.0251046025104602,0.0627615062761506,0.0,0.0,0.0167364016736401,0.2719665271966527,0.00836820083682,0.0251046025104602,0.0,0.0167364016736401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,['Jeffrey Blitz'],"['Ricky Gervais', 'Stephen Merchant']",2373,191,23,2419,17,"['Andy', 'Angela', 'Creed', 'Dwight', 'Jim', 'Kevin', 'Meredith', 'Michael', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",17.0,10.0,0.0,4.0,0.0,0.0,7.0,31.0,0.0,13.0,1.0,54.0,0.0,16.0,1.0,3.0,2.0,4.0,0.0334645669291338,0.0196850393700787,0.0,0.0078740157480314,0.0,0.0,0.0137795275590551,0.0610236220472441,0.0,0.0255905511811023,0.0019685039370078,0.1062992125984252,0.0,0.0314960629921259,0.0019685039370078,0.0059055118110236,0.0039370078740157,0.0078740157480314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,['John Krasinski'],['Dan Sterling'],1455,283,67,3074,19,"['Andy', 'Angela', 'Creed', 'Darryl', 'Dwight', 'Erin', 'Jim', 'Kevin', 'Meredith', 'Oscar', 'Pam', 'Toby']",54.0,12.0,4.0,34.0,40.0,0.0,0.0,9.0,0.0,25.0,3.0,0.0,27.0,11.0,0.0,0.0,0.0,9.0,0.2307692307692307,0.0512820512820512,0.017094017094017,0.1452991452991453,0.1709401709401709,0.0,0.0,0.0384615384615384,0.0,0.1068376068376068,0.0128205128205128,0.0,0.1153846153846153,0.047008547008547,0.0,0.0,0.0,0.0384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
