imdb_rating
9.3
8.4
7.1
8.9
8.1
8.6
8.6
8.1
8.8
8.4
8.7
8.1
8.7
8.5
7.3
8.7
7.6
8.3
8.0
8.2
8.3
8.7
7.8
8.3
8.7
8.2
8.2
8.6
7.7
8.0
8.2
8.0
8.1
8.0
8.7
8.3
7.9
7.7
8.2
7.8
7.5
8.7
8.8
8.8
8.1
7.0
9.3
8.4
9.1
8.5
8.2
7.9
9.3
8.1
8.2
6.8
8.2
8.7
8.3
8.2
8.1
9.3
7.8
9.3
8.0
8.0
7.8
8.3
7.5
8.7
8.2
8.4
9.2
8.9
7.9
7.7
7.5
8.8
6.7
7.9
8.5
8.9
8.9
8.3
7.9
7.8
7.9
8.1
7.7
8.4
8.5
8.3
7.9
7.8
7.1
8.0
8.6
8.4
7.7
8.7
8.3
8.4
7.9
7.8
7.9
7.8
7.9
9.7
8.4
8.1
8.2
8.5
8.0
8.7
8.6
8.7
8.2
8.4
9.6
8.0
7.5
8.6
7.7
